id, key, score, title, country, crawl_date, host, sentiment_score, concept, concept_relevance,
 I_a5zixkibuC3fYu4UCGeraQfaVrigMEcMA7AOQ8DWYvbT-lsLxEmTEEJwzHeVM_, English-language films, 1, Kim Cattrall: I have never been friends with Sex and the City co-stars, IE, 2017-10-24T00:39:00Z, loopsamoa.com, -0.191777, Interpersonal relationship, 0.31323
 I_a5zixkibuC3fYu4UCGeraQfaVrigMEcMA7AOQ8DWYvbT-lsLxEmTEEJwzHeVM_, English-language films, 1, Kim Cattrall: I have never been friends with Sex and the City co-stars, IE, 2017-10-24T00:39:00Z, loopsamoa.com, -0.191777, ITV plc, 0.312768
 I_a5zixkibuC3fYu4UCGeraQfaVrigMEcMA7AOQ8DWYvbT-lsLxEmTEEJwzHeVM_, English-language films, 1, Kim Cattrall: I have never been friends with Sex and the City co-stars, IE, 2017-10-24T00:39:00Z, loopsamoa.com, -0.191777, Sex and the City 2, 0.307395
 av7IqF0pLOryy6JhPr24xC6IknWZ4cGTwLRhXAB9pSX19j5kJf_LvpagClovmUuz, English-language films, 1, Interra Resources : Local businesses pass alcohol compliance checks, FR, 2017-10-24T00:11:54Z, 4-traders.com, -0.00000113249, English-language films, 0.90791
 av7IqF0pLOryy6JhPr24xC6IknWZ4cGTwLRhXAB9pSX19j5kJf_LvpagClovmUuz, English-language films, 1, Interra Resources : Local businesses pass alcohol compliance checks, FR, 2017-10-24T00:11:54Z, 4-traders.com, -0.00000113249, South Dakota, 0.820099
 av7IqF0pLOryy6JhPr24xC6IknWZ4cGTwLRhXAB9pSX19j5kJf_LvpagClovmUuz, English-language films, 1, Interra Resources : Local businesses pass alcohol compliance checks, FR, 2017-10-24T00:11:54Z, 4-traders.com, -0.00000113249, Fair, 0.745909
 av7IqF0pLOryy6JhPr24xC6IknWZ4cGTwLRhXAB9pSX19j5kJf_LvpagClovmUuz, English-language films, 1, Interra Resources : Local businesses pass alcohol compliance checks, FR, 2017-10-24T00:11:54Z, 4-traders.com, -0.00000113249, Following, 0.744428
 av7IqF0pLOryy6JhPr24xC6IknWZ4cGTwLRhXAB9pSX19j5kJf_LvpagClovmUuz, English-language films, 1, Interra Resources : Local businesses pass alcohol compliance checks, FR, 2017-10-24T00:11:54Z, 4-traders.com, -0.00000113249, Convenience store, 0.726594
 av7IqF0pLOryy6JhPr24xC6IknWZ4cGTwLRhXAB9pSX19j5kJf_LvpagClovmUuz, English-language films, 1, Interra Resources : Local businesses pass alcohol compliance checks, FR, 2017-10-24T00:11:54Z, 4-traders.com, -0.00000113249, Convenience, 0.713154
 av7IqF0pLOryy6JhPr24xC6IknWZ4cGTwLRhXAB9pSX19j5kJf_LvpagClovmUuz, English-language films, 1, Interra Resources : Local businesses pass alcohol compliance checks, FR, 2017-10-24T00:11:54Z, 4-traders.com, -0.00000113249, Kwik-E-Mart, 0.69384
 av7IqF0pLOryy6JhPr24xC6IknWZ4cGTwLRhXAB9pSX19j5kJf_LvpagClovmUuz, English-language films, 1, Interra Resources : Local businesses pass alcohol compliance checks, FR, 2017-10-24T00:11:54Z, 4-traders.com, -0.00000113249, Filling station, 0.6804
 av7IqF0pLOryy6JhPr24xC6IknWZ4cGTwLRhXAB9pSX19j5kJf_LvpagClovmUuz, English-language films, 1, Interra Resources : Local businesses pass alcohol compliance checks, FR, 2017-10-24T00:11:54Z, 4-traders.com, -0.00000113249, Broadsheet, 0.679809
 av7IqF0pLOryy6JhPr24xC6IknWZ4cGTwLRhXAB9pSX19j5kJf_LvpagClovmUuz, English-language films, 1, Interra Resources : Local businesses pass alcohol compliance checks, FR, 2017-10-24T00:11:54Z, 4-traders.com, -0.00000113249, Christopher Nolan, 0.677228
 _EdgkXODAqwwf9T0S_p3kpO2zHu4Lz5a_ABrmWbi2-urqDBPCah_6S-q33ROvNcP, English-language films, 1, A Harvest Wedding (2017) HDTV H264 AC3 5.1, CZ, 2017-10-24T00:04:46Z, allyoulike.com, 0.63051, New York City, 0.976321
 _EdgkXODAqwwf9T0S_p3kpO2zHu4Lz5a_ABrmWbi2-urqDBPCah_6S-q33ROvNcP, English-language films, 1, A Harvest Wedding (2017) HDTV H264 AC3 5.1, CZ, 2017-10-24T00:04:46Z, allyoulike.com, 0.63051, English-language films, 0.916838
 _EdgkXODAqwwf9T0S_p3kpO2zHu4Lz5a_ABrmWbi2-urqDBPCah_6S-q33ROvNcP, English-language films, 1, A Harvest Wedding (2017) HDTV H264 AC3 5.1, CZ, 2017-10-24T00:04:46Z, allyoulike.com, 0.63051, New York, 0.885562
 _EdgkXODAqwwf9T0S_p3kpO2zHu4Lz5a_ABrmWbi2-urqDBPCah_6S-q33ROvNcP, English-language films, 1, A Harvest Wedding (2017) HDTV H264 AC3 5.1, CZ, 2017-10-24T00:04:46Z, allyoulike.com, 0.63051, New Jersey, 0.798584
 _EdgkXODAqwwf9T0S_p3kpO2zHu4Lz5a_ABrmWbi2-urqDBPCah_6S-q33ROvNcP, English-language films, 1, A Harvest Wedding (2017) HDTV H264 AC3 5.1, CZ, 2017-10-24T00:04:46Z, allyoulike.com, 0.63051, Massachusetts, 0.775878
 _EdgkXODAqwwf9T0S_p3kpO2zHu4Lz5a_ABrmWbi2-urqDBPCah_6S-q33ROvNcP, English-language films, 1, A Harvest Wedding (2017) HDTV H264 AC3 5.1, CZ, 2017-10-24T00:04:46Z, allyoulike.com, 0.63051, Marriage, 0.699018
 _EdgkXODAqwwf9T0S_p3kpO2zHu4Lz5a_ABrmWbi2-urqDBPCah_6S-q33ROvNcP, English-language films, 1, A Harvest Wedding (2017) HDTV H264 AC3 5.1, CZ, 2017-10-24T00:04:46Z, allyoulike.com, 0.63051, American films, 0.658521
