id, key, score, title, country, crawl_date, host, sentiment_score, concept, concept_relevance,
 6M6Mkj9UOR2Wmf8_Z-uhORA6FcCpCGtlpsijqmhOTdsvrr41XSTiXyEMca2O-Qiu, South Africa, 1, Mkhwebane has no power to instruct Zuma over commission - Semenya - Independent Online, ZA, 2017-10-24T11:05:07Z, iol.co.za, -0.392351, Parliament, 0.543417
 6M6Mkj9UOR2Wmf8_Z-uhORA6FcCpCGtlpsijqmhOTdsvrr41XSTiXyEMca2O-Qiu, South Africa, 1, Mkhwebane has no power to instruct Zuma over commission - Semenya - Independent Online, ZA, 2017-10-24T11:05:07Z, iol.co.za, -0.392351, South Africa, 0.530727
 6M6Mkj9UOR2Wmf8_Z-uhORA6FcCpCGtlpsijqmhOTdsvrr41XSTiXyEMca2O-Qiu, South Africa, 1, Mkhwebane has no power to instruct Zuma over commission - Semenya - Independent Online, ZA, 2017-10-24T11:05:07Z, iol.co.za, -0.392351, President of the United States, 0.512333
 dMzqxc5Fys0_JjS5Ybb9XGy_wUvxEZyNeYC4j1oHostaACak4VdHW0u4j-TVNTnb, South Africa, 1, Crime stats: Rape and murder up, ZA, 2017-10-24T10:46:56Z, rekordeast.co.za, -0.723946, Crime, 0.952716
 dMzqxc5Fys0_JjS5Ybb9XGy_wUvxEZyNeYC4j1oHostaACak4VdHW0u4j-TVNTnb, South Africa, 1, Crime stats: Rape and murder up, ZA, 2017-10-24T10:46:56Z, rekordeast.co.za, -0.723946, South Africa, 0.862341
 dMzqxc5Fys0_JjS5Ybb9XGy_wUvxEZyNeYC4j1oHostaACak4VdHW0u4j-TVNTnb, South Africa, 1, Crime stats: Rape and murder up, ZA, 2017-10-24T10:46:56Z, rekordeast.co.za, -0.723946, Crimes, 0.669145
 dMzqxc5Fys0_JjS5Ybb9XGy_wUvxEZyNeYC4j1oHostaACak4VdHW0u4j-TVNTnb, South Africa, 1, Crime stats: Rape and murder up, ZA, 2017-10-24T10:46:56Z, rekordeast.co.za, -0.723946, Assault, 0.651402
 dMzqxc5Fys0_JjS5Ybb9XGy_wUvxEZyNeYC4j1oHostaACak4VdHW0u4j-TVNTnb, South Africa, 1, Crime stats: Rape and murder up, ZA, 2017-10-24T10:46:56Z, rekordeast.co.za, -0.723946, Violent crime, 0.643715
 dMzqxc5Fys0_JjS5Ybb9XGy_wUvxEZyNeYC4j1oHostaACak4VdHW0u4j-TVNTnb, South Africa, 1, Crime stats: Rape and murder up, ZA, 2017-10-24T10:46:56Z, rekordeast.co.za, -0.723946, Capital punishment, 0.620819
 dMzqxc5Fys0_JjS5Ybb9XGy_wUvxEZyNeYC4j1oHostaACak4VdHW0u4j-TVNTnb, South Africa, 1, Crime stats: Rape and murder up, ZA, 2017-10-24T10:46:56Z, rekordeast.co.za, -0.723946, Abortion, 0.592287
 dMzqxc5Fys0_JjS5Ybb9XGy_wUvxEZyNeYC4j1oHostaACak4VdHW0u4j-TVNTnb, South Africa, 1, Crime stats: Rape and murder up, ZA, 2017-10-24T10:46:56Z, rekordeast.co.za, -0.723946, Police, 0.579587
 dMzqxc5Fys0_JjS5Ybb9XGy_wUvxEZyNeYC4j1oHostaACak4VdHW0u4j-TVNTnb, South Africa, 1, Crime stats: Rape and murder up, ZA, 2017-10-24T10:46:56Z, rekordeast.co.za, -0.723946, 2016, 0.5698
 dMzqxc5Fys0_JjS5Ybb9XGy_wUvxEZyNeYC4j1oHostaACak4VdHW0u4j-TVNTnb, South Africa, 1, Crime stats: Rape and murder up, ZA, 2017-10-24T10:46:56Z, rekordeast.co.za, -0.723946, 2017, 0.5522
 dMzqxc5Fys0_JjS5Ybb9XGy_wUvxEZyNeYC4j1oHostaACak4VdHW0u4j-TVNTnb, South Africa, 1, Crime stats: Rape and murder up, ZA, 2017-10-24T10:46:56Z, rekordeast.co.za, -0.723946, Criminology, 0.5346
 dMzqxc5Fys0_JjS5Ybb9XGy_wUvxEZyNeYC4j1oHostaACak4VdHW0u4j-TVNTnb, South Africa, 1, Crime stats: Rape and murder up, ZA, 2017-10-24T10:46:56Z, rekordeast.co.za, -0.723946, Time, 0.511578
 dMzqxc5Fys0_JjS5Ybb9XGy_wUvxEZyNeYC4j1oHostaACak4VdHW0u4j-TVNTnb, South Africa, 1, Crime stats: Rape and murder up, ZA, 2017-10-24T10:46:56Z, rekordeast.co.za, -0.723946, Outlaw, 0.505741
 dMzqxc5Fys0_JjS5Ybb9XGy_wUvxEZyNeYC4j1oHostaACak4VdHW0u4j-TVNTnb, South Africa, 1, Crime stats: Rape and murder up, ZA, 2017-10-24T10:46:56Z, rekordeast.co.za, -0.723946, Sociology, 0.503172
 dMzqxc5Fys0_JjS5Ybb9XGy_wUvxEZyNeYC4j1oHostaACak4VdHW0u4j-TVNTnb, South Africa, 1, Crime stats: Rape and murder up, ZA, 2017-10-24T10:46:56Z, rekordeast.co.za, -0.723946, Violence, 0.487005
 dMzqxc5Fys0_JjS5Ybb9XGy_wUvxEZyNeYC4j1oHostaACak4VdHW0u4j-TVNTnb, South Africa, 1, Crime stats: Rape and murder up, ZA, 2017-10-24T10:46:56Z, rekordeast.co.za, -0.723946, Provinces of South Africa, 0.484289
 dMzqxc5Fys0_JjS5Ybb9XGy_wUvxEZyNeYC4j1oHostaACak4VdHW0u4j-TVNTnb, South Africa, 1, Crime stats: Rape and murder up, ZA, 2017-10-24T10:46:56Z, rekordeast.co.za, -0.723946, Crime statistics, 0.440577
 dMzqxc5Fys0_JjS5Ybb9XGy_wUvxEZyNeYC4j1oHostaACak4VdHW0u4j-TVNTnb, South Africa, 1, Crime stats: Rape and murder up, ZA, 2017-10-24T10:46:56Z, rekordeast.co.za, -0.723946, Xhosa language, 0.439472
 mwGWiYzC-T_j3KIWSCYG8bRbzitvElT9Ao4v5CJoCBd0ojN_YK2dWDpS7JKQLQAi, South Africa, 1, Relieved Stanley Menzo heaps praise on Ajax Cape Town duo Bantu Mzwakali and Tashreeq Morris, ZA, 2017-10-24T11:45:48Z, zobo.co.za, -0.725904, South Africa, 0.941645
 mwGWiYzC-T_j3KIWSCYG8bRbzitvElT9Ao4v5CJoCBd0ojN_YK2dWDpS7JKQLQAi, South Africa, 1, Relieved Stanley Menzo heaps praise on Ajax Cape Town duo Bantu Mzwakali and Tashreeq Morris, ZA, 2017-10-24T11:45:48Z, zobo.co.za, -0.725904, Stanley Menzo, 0.86526
