id, key, score, title, country, crawl_date, host, sentiment_score, concept, concept_relevance,
 REWYDNwRF-Pdc9_SAzLIP8vlRCAJbW3-4IZ4i7gzdC0yHyFCMQ_wD09v5n7CInEE, United States, 1, New York real estate developer buys Trump drawing at auction, CA, 2017-10-24T04:30:14Z, thechronicleherald.ca, 0, Trump Tower, 0.393053
 REWYDNwRF-Pdc9_SAzLIP8vlRCAJbW3-4IZ4i7gzdC0yHyFCMQ_wD09v5n7CInEE, United States, 1, New York real estate developer buys Trump drawing at auction, CA, 2017-10-24T04:30:14Z, thechronicleherald.ca, 0, Associated Press, 0.392125
 REWYDNwRF-Pdc9_SAzLIP8vlRCAJbW3-4IZ4i7gzdC0yHyFCMQ_wD09v5n7CInEE, United States, 1, New York real estate developer buys Trump drawing at auction, CA, 2017-10-24T04:30:14Z, thechronicleherald.ca, 0, Donald Trump  Jr., 0.385565
 REWYDNwRF-Pdc9_SAzLIP8vlRCAJbW3-4IZ4i7gzdC0yHyFCMQ_wD09v5n7CInEE, United States, 1, New York real estate developer buys Trump drawing at auction, CA, 2017-10-24T04:30:14Z, thechronicleherald.ca, 0, Trump Organization, 0.384497
 REWYDNwRF-Pdc9_SAzLIP8vlRCAJbW3-4IZ4i7gzdC0yHyFCMQ_wD09v5n7CInEE, United States, 1, New York real estate developer buys Trump drawing at auction, CA, 2017-10-24T04:30:14Z, thechronicleherald.ca, 0, Toronto, 0.374182
 REWYDNwRF-Pdc9_SAzLIP8vlRCAJbW3-4IZ4i7gzdC0yHyFCMQ_wD09v5n7CInEE, United States, 1, New York real estate developer buys Trump drawing at auction, CA, 2017-10-24T04:30:14Z, thechronicleherald.ca, 0, Fordham University, 0.366927
 REWYDNwRF-Pdc9_SAzLIP8vlRCAJbW3-4IZ4i7gzdC0yHyFCMQ_wD09v5n7CInEE, United States, 1, New York real estate developer buys Trump drawing at auction, CA, 2017-10-24T04:30:14Z, thechronicleherald.ca, 0, Mar-A-Lago, 0.364062
 REWYDNwRF-Pdc9_SAzLIP8vlRCAJbW3-4IZ4i7gzdC0yHyFCMQ_wD09v5n7CInEE, United States, 1, New York real estate developer buys Trump drawing at auction, CA, 2017-10-24T04:30:14Z, thechronicleherald.ca, 0, Palm Beach  Florida, 0.35793
 REWYDNwRF-Pdc9_SAzLIP8vlRCAJbW3-4IZ4i7gzdC0yHyFCMQ_wD09v5n7CInEE, United States, 1, New York real estate developer buys Trump drawing at auction, CA, 2017-10-24T04:30:14Z, thechronicleherald.ca, 0, New Jersey, 0.354909
 REWYDNwRF-Pdc9_SAzLIP8vlRCAJbW3-4IZ4i7gzdC0yHyFCMQ_wD09v5n7CInEE, United States, 1, New York real estate developer buys Trump drawing at auction, CA, 2017-10-24T04:30:14Z, thechronicleherald.ca, 0, Northeastern United States, 0.352113
 B51Fr1tVBcOhEPBykQWjjlSf8OUbXSA-m71uIx6NklVciH4sgUYSnwaA3dFccfuF, United States, 1, WIC App Launches For Hoosiers - Story | MyWabashValley, US, 2017-10-24T04:18:20Z, mywabashvalley.com, -0.194337, Copyright, 0.916326
 B51Fr1tVBcOhEPBykQWjjlSf8OUbXSA-m71uIx6NklVciH4sgUYSnwaA3dFccfuF, United States, 1, WIC App Launches For Hoosiers - Story | MyWabashValley, US, 2017-10-24T04:18:20Z, mywabashvalley.com, -0.194337, Indiana, 0.888786
 B51Fr1tVBcOhEPBykQWjjlSf8OUbXSA-m71uIx6NklVciH4sgUYSnwaA3dFccfuF, United States, 1, WIC App Launches For Hoosiers - Story | MyWabashValley, US, 2017-10-24T04:18:20Z, mywabashvalley.com, -0.194337, All rights reserved, 0.843834
 B51Fr1tVBcOhEPBykQWjjlSf8OUbXSA-m71uIx6NklVciH4sgUYSnwaA3dFccfuF, United States, 1, WIC App Launches For Hoosiers - Story | MyWabashValley, US, 2017-10-24T04:18:20Z, mywabashvalley.com, -0.194337, Nexstar Broadcasting Group, 0.743531
 B51Fr1tVBcOhEPBykQWjjlSf8OUbXSA-m71uIx6NklVciH4sgUYSnwaA3dFccfuF, United States, 1, WIC App Launches For Hoosiers - Story | MyWabashValley, US, 2017-10-24T04:18:20Z, mywabashvalley.com, -0.194337, United States, 0.688079
 B51Fr1tVBcOhEPBykQWjjlSf8OUbXSA-m71uIx6NklVciH4sgUYSnwaA3dFccfuF, United States, 1, WIC App Launches For Hoosiers - Story | MyWabashValley, US, 2017-10-24T04:18:20Z, mywabashvalley.com, -0.194337, State, 0.673114
 qPmAT84TzuPDVSm_r3VEqRYb9QqZCheJkJ4kWeSANtTq-JUE4yzJYf6ROQWPdz3v, United States, 1, AMBER ALERT issued for 3-year-old..., US, 2017-10-24T04:18:20Z, rssfeeds.wusa9.com, -0.630133, Petersburg  Virginia, 0.948014
 qPmAT84TzuPDVSm_r3VEqRYb9QqZCheJkJ4kWeSANtTq-JUE4yzJYf6ROQWPdz3v, United States, 1, AMBER ALERT issued for 3-year-old..., US, 2017-10-24T04:18:20Z, rssfeeds.wusa9.com, -0.630133, Virginia, 0.941451
 qPmAT84TzuPDVSm_r3VEqRYb9QqZCheJkJ4kWeSANtTq-JUE4yzJYf6ROQWPdz3v, United States, 1, AMBER ALERT issued for 3-year-old..., US, 2017-10-24T04:18:20Z, rssfeeds.wusa9.com, -0.630133, Sheriff, 0.86997
 qPmAT84TzuPDVSm_r3VEqRYb9QqZCheJkJ4kWeSANtTq-JUE4yzJYf6ROQWPdz3v, United States, 1, AMBER ALERT issued for 3-year-old..., US, 2017-10-24T04:18:20Z, rssfeeds.wusa9.com, -0.630133, Richmond  Virginia, 0.822895
 qPmAT84TzuPDVSm_r3VEqRYb9QqZCheJkJ4kWeSANtTq-JUE4yzJYf6ROQWPdz3v, United States, 1, AMBER ALERT issued for 3-year-old..., US, 2017-10-24T04:18:20Z, rssfeeds.wusa9.com, -0.630133, Virginia State University, 0.737848
 qPmAT84TzuPDVSm_r3VEqRYb9QqZCheJkJ4kWeSANtTq-JUE4yzJYf6ROQWPdz3v, United States, 1, AMBER ALERT issued for 3-year-old..., US, 2017-10-24T04:18:20Z, rssfeeds.wusa9.com, -0.630133, Chesterfield County  Virginia, 0.686005
 qPmAT84TzuPDVSm_r3VEqRYb9QqZCheJkJ4kWeSANtTq-JUE4yzJYf6ROQWPdz3v, United States, 1, AMBER ALERT issued for 3-year-old..., US, 2017-10-24T04:18:20Z, rssfeeds.wusa9.com, -0.630133, Hyundai Motor Company, 0.626141
 qPmAT84TzuPDVSm_r3VEqRYb9QqZCheJkJ4kWeSANtTq-JUE4yzJYf6ROQWPdz3v, United States, 1, AMBER ALERT issued for 3-year-old..., US, 2017-10-24T04:18:20Z, rssfeeds.wusa9.com, -0.630133, Hyundai Elantra, 0.610146
 qPmAT84TzuPDVSm_r3VEqRYb9QqZCheJkJ4kWeSANtTq-JUE4yzJYf6ROQWPdz3v, United States, 1, AMBER ALERT issued for 3-year-old..., US, 2017-10-24T04:18:20Z, rssfeeds.wusa9.com, -0.630133, Afro, 0.579811
 qPmAT84TzuPDVSm_r3VEqRYb9QqZCheJkJ4kWeSANtTq-JUE4yzJYf6ROQWPdz3v, United States, 1, AMBER ALERT issued for 3-year-old..., US, 2017-10-24T04:18:20Z, rssfeeds.wusa9.com, -0.630133, United States, 0.554727
 qPmAT84TzuPDVSm_r3VEqRYb9QqZCheJkJ4kWeSANtTq-JUE4yzJYf6ROQWPdz3v, United States, 1, AMBER ALERT issued for 3-year-old..., US, 2017-10-24T04:18:20Z, rssfeeds.wusa9.com, -0.630133, Police, 0.540596
 qPmAT84TzuPDVSm_r3VEqRYb9QqZCheJkJ4kWeSANtTq-JUE4yzJYf6ROQWPdz3v, United States, 1, AMBER ALERT issued for 3-year-old..., US, 2017-10-24T04:18:20Z, rssfeeds.wusa9.com, -0.630133, Prince Edward County  Virginia, 0.535545
 qPmAT84TzuPDVSm_r3VEqRYb9QqZCheJkJ4kWeSANtTq-JUE4yzJYf6ROQWPdz3v, United States, 1, AMBER ALERT issued for 3-year-old..., US, 2017-10-24T04:18:20Z, rssfeeds.wusa9.com, -0.630133, Hyundai i30, 0.535116
 qPmAT84TzuPDVSm_r3VEqRYb9QqZCheJkJ4kWeSANtTq-JUE4yzJYf6ROQWPdz3v, United States, 1, AMBER ALERT issued for 3-year-old..., US, 2017-10-24T04:18:20Z, rssfeeds.wusa9.com, -0.630133, Hyundai Santa Fe, 0.534207
 qPmAT84TzuPDVSm_r3VEqRYb9QqZCheJkJ4kWeSANtTq-JUE4yzJYf6ROQWPdz3v, United States, 1, AMBER ALERT issued for 3-year-old..., US, 2017-10-24T04:18:20Z, rssfeeds.wusa9.com, -0.630133, History of Virginia, 0.533062
 qPmAT84TzuPDVSm_r3VEqRYb9QqZCheJkJ4kWeSANtTq-JUE4yzJYf6ROQWPdz3v, United States, 1, AMBER ALERT issued for 3-year-old..., US, 2017-10-24T04:18:20Z, rssfeeds.wusa9.com, -0.630133, State, 0.526873
 qPmAT84TzuPDVSm_r3VEqRYb9QqZCheJkJ4kWeSANtTq-JUE4yzJYf6ROQWPdz3v, United States, 1, AMBER ALERT issued for 3-year-old..., US, 2017-10-24T04:18:20Z, rssfeeds.wusa9.com, -0.630133, Ettrick  Virginia, 0.511505
 qPmAT84TzuPDVSm_r3VEqRYb9QqZCheJkJ4kWeSANtTq-JUE4yzJYf6ROQWPdz3v, United States, 1, AMBER ALERT issued for 3-year-old..., US, 2017-10-24T04:18:20Z, rssfeeds.wusa9.com, -0.630133, Hyundai Excel, 0.511163
 qPmAT84TzuPDVSm_r3VEqRYb9QqZCheJkJ4kWeSANtTq-JUE4yzJYf6ROQWPdz3v, United States, 1, AMBER ALERT issued for 3-year-old..., US, 2017-10-24T04:18:20Z, rssfeeds.wusa9.com, -0.630133, Hyundai Tucson, 0.501049
 qPmAT84TzuPDVSm_r3VEqRYb9QqZCheJkJ4kWeSANtTq-JUE4yzJYf6ROQWPdz3v, United States, 1, AMBER ALERT issued for 3-year-old..., US, 2017-10-24T04:18:20Z, rssfeeds.wusa9.com, -0.630133, Jeans, 0.494742
 qPmAT84TzuPDVSm_r3VEqRYb9QqZCheJkJ4kWeSANtTq-JUE4yzJYf6ROQWPdz3v, United States, 1, AMBER ALERT issued for 3-year-old..., US, 2017-10-24T04:18:20Z, rssfeeds.wusa9.com, -0.630133, Shirt, 0.494156
 qPmAT84TzuPDVSm_r3VEqRYb9QqZCheJkJ4kWeSANtTq-JUE4yzJYf6ROQWPdz3v, United States, 1, AMBER ALERT issued for 3-year-old..., US, 2017-10-24T04:18:20Z, rssfeeds.wusa9.com, -0.630133, Colonial Heights  Virginia, 0.481158
 qPmAT84TzuPDVSm_r3VEqRYb9QqZCheJkJ4kWeSANtTq-JUE4yzJYf6ROQWPdz3v, United States, 1, AMBER ALERT issued for 3-year-old..., US, 2017-10-24T04:18:20Z, rssfeeds.wusa9.com, -0.630133, Red, 0.477006
 qPmAT84TzuPDVSm_r3VEqRYb9QqZCheJkJ4kWeSANtTq-JUE4yzJYf6ROQWPdz3v, United States, 1, AMBER ALERT issued for 3-year-old..., US, 2017-10-24T04:18:20Z, rssfeeds.wusa9.com, -0.630133, Eye, 0.475903
 qPmAT84TzuPDVSm_r3VEqRYb9QqZCheJkJ4kWeSANtTq-JUE4yzJYf6ROQWPdz3v, United States, 1, AMBER ALERT issued for 3-year-old..., US, 2017-10-24T04:18:20Z, rssfeeds.wusa9.com, -0.630133, 2016, 0.47326
 qPmAT84TzuPDVSm_r3VEqRYb9QqZCheJkJ4kWeSANtTq-JUE4yzJYf6ROQWPdz3v, United States, 1, AMBER ALERT issued for 3-year-old..., US, 2017-10-24T04:18:20Z, rssfeeds.wusa9.com, -0.630133, Eye color, 0.46964
 qPmAT84TzuPDVSm_r3VEqRYb9QqZCheJkJ4kWeSANtTq-JUE4yzJYf6ROQWPdz3v, United States, 1, AMBER ALERT issued for 3-year-old..., US, 2017-10-24T04:18:20Z, rssfeeds.wusa9.com, -0.630133, 2017, 0.464989
 qPmAT84TzuPDVSm_r3VEqRYb9QqZCheJkJ4kWeSANtTq-JUE4yzJYf6ROQWPdz3v, United States, 1, AMBER ALERT issued for 3-year-old..., US, 2017-10-24T04:18:20Z, rssfeeds.wusa9.com, -0.630133, War, 0.450514
 qPmAT84TzuPDVSm_r3VEqRYb9QqZCheJkJ4kWeSANtTq-JUE4yzJYf6ROQWPdz3v, United States, 1, AMBER ALERT issued for 3-year-old..., US, 2017-10-24T04:18:20Z, rssfeeds.wusa9.com, -0.630133, United States customary units, 0.450493
 XDxHMIyuO9RfeOfJ4CyjydwTOjy1FLp2FHqehpd4Vcrjq29VQxE1HCWVaKnbz3p0, United States, 1, American Lending Center Honored with Prestigious Award at IIUSA’s Annual Industry Forum, US, 2017-10-24T04:27:42Z, businesswire.com, 0.723547, United States, 0.958234
