id, key, score, title, country, crawl_date, host, sentiment_score, concept, concept_relevance,
 nQHs-vUYe0SvexzMDBlLenVDFsA3YlfvFi2FIBM-f40i-_NfGEWQsMjWfZvyaHsu, United States, 1, ‘Pakistan has never seen a crisis worse than the one it is in today’: Javed Hashmi, PK, 2017-10-24T00:16:18Z, dailymessenger.com.pk, -0.738356, Chief Justice of the United States, 0.62779
 nQHs-vUYe0SvexzMDBlLenVDFsA3YlfvFi2FIBM-f40i-_NfGEWQsMjWfZvyaHsu, United States, 1, ‘Pakistan has never seen a crisis worse than the one it is in today’: Javed Hashmi, PK, 2017-10-24T00:16:18Z, dailymessenger.com.pk, -0.738356, Pakistan Army, 0.585885
 nQHs-vUYe0SvexzMDBlLenVDFsA3YlfvFi2FIBM-f40i-_NfGEWQsMjWfZvyaHsu, United States, 1, ‘Pakistan has never seen a crisis worse than the one it is in today’: Javed Hashmi, PK, 2017-10-24T00:16:18Z, dailymessenger.com.pk, -0.738356, Prime Minister of Pakistan, 0.556618
 nQHs-vUYe0SvexzMDBlLenVDFsA3YlfvFi2FIBM-f40i-_NfGEWQsMjWfZvyaHsu, United States, 1, ‘Pakistan has never seen a crisis worse than the one it is in today’: Javed Hashmi, PK, 2017-10-24T00:16:18Z, dailymessenger.com.pk, -0.738356, Pervez Musharraf, 0.549961
 nQHs-vUYe0SvexzMDBlLenVDFsA3YlfvFi2FIBM-f40i-_NfGEWQsMjWfZvyaHsu, United States, 1, ‘Pakistan has never seen a crisis worse than the one it is in today’: Javed Hashmi, PK, 2017-10-24T00:16:18Z, dailymessenger.com.pk, -0.738356, Judge, 0.546594
 nQHs-vUYe0SvexzMDBlLenVDFsA3YlfvFi2FIBM-f40i-_NfGEWQsMjWfZvyaHsu, United States, 1, ‘Pakistan has never seen a crisis worse than the one it is in today’: Javed Hashmi, PK, 2017-10-24T00:16:18Z, dailymessenger.com.pk, -0.738356, Abdul Qadeer Khan, 0.543994
 nQHs-vUYe0SvexzMDBlLenVDFsA3YlfvFi2FIBM-f40i-_NfGEWQsMjWfZvyaHsu, United States, 1, ‘Pakistan has never seen a crisis worse than the one it is in today’: Javed Hashmi, PK, 2017-10-24T00:16:18Z, dailymessenger.com.pk, -0.738356, Constitution, 0.532391
 nQHs-vUYe0SvexzMDBlLenVDFsA3YlfvFi2FIBM-f40i-_NfGEWQsMjWfZvyaHsu, United States, 1, ‘Pakistan has never seen a crisis worse than the one it is in today’: Javed Hashmi, PK, 2017-10-24T00:16:18Z, dailymessenger.com.pk, -0.738356, Judicial review, 0.522978
 nQHs-vUYe0SvexzMDBlLenVDFsA3YlfvFi2FIBM-f40i-_NfGEWQsMjWfZvyaHsu, United States, 1, ‘Pakistan has never seen a crisis worse than the one it is in today’: Javed Hashmi, PK, 2017-10-24T00:16:18Z, dailymessenger.com.pk, -0.738356, George W. Bush, 0.494027
 nQHs-vUYe0SvexzMDBlLenVDFsA3YlfvFi2FIBM-f40i-_NfGEWQsMjWfZvyaHsu, United States, 1, ‘Pakistan has never seen a crisis worse than the one it is in today’: Javed Hashmi, PK, 2017-10-24T00:16:18Z, dailymessenger.com.pk, -0.738356, Federalism, 0.490807
