id, key, score, title, country, crawl_date, host, sentiment_score, concept, concept_relevance,
 3WN6Bqm8iFCeqHSo3Ij8sZzHZBYF122C0G1MDBEvZisfucDXruKldyAxk3tPNGIC, Australia, 1, Our pollies are hooked on pokies | Lismore Echo, AU, 2017-10-24T03:55:24Z, echonews.com.au, -0.490959, Turning Point, 0.427049
 3WN6Bqm8iFCeqHSo3Ij8sZzHZBYF122C0G1MDBEvZisfucDXruKldyAxk3tPNGIC, Australia, 1, Our pollies are hooked on pokies | Lismore Echo, AU, 2017-10-24T03:55:24Z, echonews.com.au, -0.490959, State, 0.42666
 3WN6Bqm8iFCeqHSo3Ij8sZzHZBYF122C0G1MDBEvZisfucDXruKldyAxk3tPNGIC, Australia, 1, Our pollies are hooked on pokies | Lismore Echo, AU, 2017-10-24T03:55:24Z, echonews.com.au, -0.490959, Drug addiction, 0.426039
 3WN6Bqm8iFCeqHSo3Ij8sZzHZBYF122C0G1MDBEvZisfucDXruKldyAxk3tPNGIC, Australia, 1, Our pollies are hooked on pokies | Lismore Echo, AU, 2017-10-24T03:55:24Z, echonews.com.au, -0.490959, Australian Greens, 0.420346
 3WN6Bqm8iFCeqHSo3Ij8sZzHZBYF122C0G1MDBEvZisfucDXruKldyAxk3tPNGIC, Australia, 1, Our pollies are hooked on pokies | Lismore Echo, AU, 2017-10-24T03:55:24Z, echonews.com.au, -0.490959, Names of large numbers, 0.388764
 shzFymTjf99CwvUR4sYQoeYzR4vYWgsH_6NojP0fCFPQAAUwY7_xxhogNZ3z0woS, Australia, 1, Will the ASX run into a bear market wall?, AU, 2017-10-24T11:39:10Z, afr.com, -0.166038, Stock market, 0.954527
 shzFymTjf99CwvUR4sYQoeYzR4vYWgsH_6NojP0fCFPQAAUwY7_xxhogNZ3z0woS, Australia, 1, Will the ASX run into a bear market wall?, AU, 2017-10-24T11:39:10Z, afr.com, -0.166038, Monetary policy, 0.909393
 shzFymTjf99CwvUR4sYQoeYzR4vYWgsH_6NojP0fCFPQAAUwY7_xxhogNZ3z0woS, Australia, 1, Will the ASX run into a bear market wall?, AU, 2017-10-24T11:39:10Z, afr.com, -0.166038, Interest rate, 0.87675
 shzFymTjf99CwvUR4sYQoeYzR4vYWgsH_6NojP0fCFPQAAUwY7_xxhogNZ3z0woS, Australia, 1, Will the ASX run into a bear market wall?, AU, 2017-10-24T11:39:10Z, afr.com, -0.166038, Central bank, 0.870699
 shzFymTjf99CwvUR4sYQoeYzR4vYWgsH_6NojP0fCFPQAAUwY7_xxhogNZ3z0woS, Australia, 1, Will the ASX run into a bear market wall?, AU, 2017-10-24T11:39:10Z, afr.com, -0.166038, Inflation, 0.865152
 shzFymTjf99CwvUR4sYQoeYzR4vYWgsH_6NojP0fCFPQAAUwY7_xxhogNZ3z0woS, Australia, 1, Will the ASX run into a bear market wall?, AU, 2017-10-24T11:39:10Z, afr.com, -0.166038, Bank, 0.764761
 shzFymTjf99CwvUR4sYQoeYzR4vYWgsH_6NojP0fCFPQAAUwY7_xxhogNZ3z0woS, Australia, 1, Will the ASX run into a bear market wall?, AU, 2017-10-24T11:39:10Z, afr.com, -0.166038, Stock exchange, 0.673328
 shzFymTjf99CwvUR4sYQoeYzR4vYWgsH_6NojP0fCFPQAAUwY7_xxhogNZ3z0woS, Australia, 1, Will the ASX run into a bear market wall?, AU, 2017-10-24T11:39:10Z, afr.com, -0.166038, Federal Reserve System, 0.620751
 shzFymTjf99CwvUR4sYQoeYzR4vYWgsH_6NojP0fCFPQAAUwY7_xxhogNZ3z0woS, Australia, 1, Will the ASX run into a bear market wall?, AU, 2017-10-24T11:39:10Z, afr.com, -0.166038, Stock, 0.58405
 shzFymTjf99CwvUR4sYQoeYzR4vYWgsH_6NojP0fCFPQAAUwY7_xxhogNZ3z0woS, Australia, 1, Will the ASX run into a bear market wall?, AU, 2017-10-24T11:39:10Z, afr.com, -0.166038, Money supply, 0.573952
 shzFymTjf99CwvUR4sYQoeYzR4vYWgsH_6NojP0fCFPQAAUwY7_xxhogNZ3z0woS, Australia, 1, Will the ASX run into a bear market wall?, AU, 2017-10-24T11:39:10Z, afr.com, -0.166038, Business cycle, 0.569163
 shzFymTjf99CwvUR4sYQoeYzR4vYWgsH_6NojP0fCFPQAAUwY7_xxhogNZ3z0woS, Australia, 1, Will the ASX run into a bear market wall?, AU, 2017-10-24T11:39:10Z, afr.com, -0.166038, Market trends, 0.531676
 shzFymTjf99CwvUR4sYQoeYzR4vYWgsH_6NojP0fCFPQAAUwY7_xxhogNZ3z0woS, Australia, 1, Will the ASX run into a bear market wall?, AU, 2017-10-24T11:39:10Z, afr.com, -0.166038, Australia, 0.515103
 shzFymTjf99CwvUR4sYQoeYzR4vYWgsH_6NojP0fCFPQAAUwY7_xxhogNZ3z0woS, Australia, 1, Will the ASX run into a bear market wall?, AU, 2017-10-24T11:39:10Z, afr.com, -0.166038, Bank of England, 0.492864
 shzFymTjf99CwvUR4sYQoeYzR4vYWgsH_6NojP0fCFPQAAUwY7_xxhogNZ3z0woS, Australia, 1, Will the ASX run into a bear market wall?, AU, 2017-10-24T11:39:10Z, afr.com, -0.166038, Dow Jones Industrial Average, 0.47664
 shzFymTjf99CwvUR4sYQoeYzR4vYWgsH_6NojP0fCFPQAAUwY7_xxhogNZ3z0woS, Australia, 1, Will the ASX run into a bear market wall?, AU, 2017-10-24T11:39:10Z, afr.com, -0.166038, Reserve Bank of Australia, 0.454537
 shzFymTjf99CwvUR4sYQoeYzR4vYWgsH_6NojP0fCFPQAAUwY7_xxhogNZ3z0woS, Australia, 1, Will the ASX run into a bear market wall?, AU, 2017-10-24T11:39:10Z, afr.com, -0.166038, Foreign exchange market, 0.443616
 shzFymTjf99CwvUR4sYQoeYzR4vYWgsH_6NojP0fCFPQAAUwY7_xxhogNZ3z0woS, Australia, 1, Will the ASX run into a bear market wall?, AU, 2017-10-24T11:39:10Z, afr.com, -0.166038, Technical analysis, 0.44328
 shzFymTjf99CwvUR4sYQoeYzR4vYWgsH_6NojP0fCFPQAAUwY7_xxhogNZ3z0woS, Australia, 1, Will the ASX run into a bear market wall?, AU, 2017-10-24T11:39:10Z, afr.com, -0.166038, Fractional-reserve banking, 0.443037
 shzFymTjf99CwvUR4sYQoeYzR4vYWgsH_6NojP0fCFPQAAUwY7_xxhogNZ3z0woS, Australia, 1, Will the ASX run into a bear market wall?, AU, 2017-10-24T11:39:10Z, afr.com, -0.166038, European Central Bank, 0.439424
 shzFymTjf99CwvUR4sYQoeYzR4vYWgsH_6NojP0fCFPQAAUwY7_xxhogNZ3z0woS, Australia, 1, Will the ASX run into a bear market wall?, AU, 2017-10-24T11:39:10Z, afr.com, -0.166038, Finance, 0.4381
 shzFymTjf99CwvUR4sYQoeYzR4vYWgsH_6NojP0fCFPQAAUwY7_xxhogNZ3z0woS, Australia, 1, Will the ASX run into a bear market wall?, AU, 2017-10-24T11:39:10Z, afr.com, -0.166038, Euro, 0.431564
 shzFymTjf99CwvUR4sYQoeYzR4vYWgsH_6NojP0fCFPQAAUwY7_xxhogNZ3z0woS, Australia, 1, Will the ASX run into a bear market wall?, AU, 2017-10-24T11:39:10Z, afr.com, -0.166038, Bank of America, 0.430819
 TXQqwkH1O6Iy53lOOkIOhd9WIEwbxysdjCpiFAY4pYKa7K46RBRDnyEPHBWmOLKi, Australia, 1, Why the Kangaroos are the Death Star | Tweed Daily News, AU, 2017-10-24T11:32:28Z, tweeddailynews.com.au, 0.112886, 2008 Rugby League World Cup, 0.951918
 TXQqwkH1O6Iy53lOOkIOhd9WIEwbxysdjCpiFAY4pYKa7K46RBRDnyEPHBWmOLKi, Australia, 1, Why the Kangaroos are the Death Star | Tweed Daily News, AU, 2017-10-24T11:32:28Z, tweeddailynews.com.au, 0.112886, New Zealand national rugby league team, 0.833784
 TXQqwkH1O6Iy53lOOkIOhd9WIEwbxysdjCpiFAY4pYKa7K46RBRDnyEPHBWmOLKi, Australia, 1, Why the Kangaroos are the Death Star | Tweed Daily News, AU, 2017-10-24T11:32:28Z, tweeddailynews.com.au, 0.112886, Australia national rugby league team, 0.826898
 TXQqwkH1O6Iy53lOOkIOhd9WIEwbxysdjCpiFAY4pYKa7K46RBRDnyEPHBWmOLKi, Australia, 1, Why the Kangaroos are the Death Star | Tweed Daily News, AU, 2017-10-24T11:32:28Z, tweeddailynews.com.au, 0.112886, Rugby League International Federation, 0.732407
 TXQqwkH1O6Iy53lOOkIOhd9WIEwbxysdjCpiFAY4pYKa7K46RBRDnyEPHBWmOLKi, Australia, 1, Why the Kangaroos are the Death Star | Tweed Daily News, AU, 2017-10-24T11:32:28Z, tweeddailynews.com.au, 0.112886, Rugby League World Cup, 0.73088
 TXQqwkH1O6Iy53lOOkIOhd9WIEwbxysdjCpiFAY4pYKa7K46RBRDnyEPHBWmOLKi, Australia, 1, Why the Kangaroos are the Death Star | Tweed Daily News, AU, 2017-10-24T11:32:28Z, tweeddailynews.com.au, 0.112886, Rugby league, 0.701087
 TXQqwkH1O6Iy53lOOkIOhd9WIEwbxysdjCpiFAY4pYKa7K46RBRDnyEPHBWmOLKi, Australia, 1, Why the Kangaroos are the Death Star | Tweed Daily News, AU, 2017-10-24T11:32:28Z, tweeddailynews.com.au, 0.112886, New Zealand, 0.62591
 TXQqwkH1O6Iy53lOOkIOhd9WIEwbxysdjCpiFAY4pYKa7K46RBRDnyEPHBWmOLKi, Australia, 1, Why the Kangaroos are the Death Star | Tweed Daily News, AU, 2017-10-24T11:32:28Z, tweeddailynews.com.au, 0.112886, Rugby League Tri-Nations, 0.597896
 TXQqwkH1O6Iy53lOOkIOhd9WIEwbxysdjCpiFAY4pYKa7K46RBRDnyEPHBWmOLKi, Australia, 1, Why the Kangaroos are the Death Star | Tweed Daily News, AU, 2017-10-24T11:32:28Z, tweeddailynews.com.au, 0.112886, Melbourne Storm, 0.586848
 TXQqwkH1O6Iy53lOOkIOhd9WIEwbxysdjCpiFAY4pYKa7K46RBRDnyEPHBWmOLKi, Australia, 1, Why the Kangaroos are the Death Star | Tweed Daily News, AU, 2017-10-24T11:32:28Z, tweeddailynews.com.au, 0.112886, 2013 Rugby League World Cup, 0.586052
 TXQqwkH1O6Iy53lOOkIOhd9WIEwbxysdjCpiFAY4pYKa7K46RBRDnyEPHBWmOLKi, Australia, 1, Why the Kangaroos are the Death Star | Tweed Daily News, AU, 2017-10-24T11:32:28Z, tweeddailynews.com.au, 0.112886, Rugby League Four Nations, 0.571477
 TXQqwkH1O6Iy53lOOkIOhd9WIEwbxysdjCpiFAY4pYKa7K46RBRDnyEPHBWmOLKi, Australia, 1, Why the Kangaroos are the Death Star | Tweed Daily News, AU, 2017-10-24T11:32:28Z, tweeddailynews.com.au, 0.112886, Rugby league in New Zealand, 0.564902
 TXQqwkH1O6Iy53lOOkIOhd9WIEwbxysdjCpiFAY4pYKa7K46RBRDnyEPHBWmOLKi, Australia, 1, Why the Kangaroos are the Death Star | Tweed Daily News, AU, 2017-10-24T11:32:28Z, tweeddailynews.com.au, 0.112886, Rugby union, 0.53815
